company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,site_name,skills,uniq_id,category
BVR People Consulting,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 1 yrs,Pharma / Biotech / Clinical Research,"Job Description   Send me Jobs like this Dear Candidate, Greetings!!!!!!!! We have an opportunity for the position of INTERNS with Global pharmaceutical Company @ Hyderabad. Looking for MBA freshers. Job Specification: Designation: Intern (HR) Education: MBA Location: Hyderabad Experience: 0 1 year. Required Skill set: Excellent Microsoft Excel skills, Effective communication skills and good team player Job Responsibilities : Understanding the requirement & Job description as per hiring criteria. Handling all functions of recruitment from sourcing of candidates through in house database, job portals, referrals, Scrutinizing, screening and short listing resumes based on specific criteria, skills, platforms, qualifications and relevant experience. Maintain Candidates Tracking Sheet & MIS reports for keeping better track with the management. Sourcing and screening the profiles Taking care of end to end recruitment. Who are interested send your updated profile to priyarane@bvrpc.com Please send the below details along with your profile: Total Experience Relevant Experience: Current CTC: Expected CTC : Negotiable(Yes/No) Notice Period Time: Thanks & Regards, Umadevi.J Salary: Not Disclosed by Recruiter Industry: Pharma / Biotech / Clinical Research Functional Area: HR , Recruitment , Administration , IR Role Category:Other Role:Fresher Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: BVR People Consulting Leading Pharma Consulting Download PPT Photo 1   View Contact Details",180316600825,Hyderabad / Secunderabad,Human Resource Intern - Only MBA HR Fresher can Apply,,Not Disclosed by Recruiter,2016-03-17 02:31:07 +0000,,HR,ad86743c214ec9d5fc83686473a168a6,intern
"Egghead Creative, Inc","UG: Any Graduate PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 7 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Responsibilities Create social media strategies & marketing campaigns Creating and collating content across social media channels Demonstrable ability to create engaging social media communications Knowledge of what content will engage and be shared Community management through core social media platforms Content writing Integrating SEO into other marketing channels (SEM, social, email, offline)",10615500230,Hyderabad / Secunderabad,Internet Marketing Consultant,,Not Disclosed by Recruiter,2016-02-19 02:31:24 +0000,,Marketing,b296fa82f6558914babeed194166dec7,intern
CES Ltd.,"UG: Any Graduate - Any Specialization, Graduation Not Required, B.Com - Commerce, B.Sc - Any Specialization, B.Tech/B.E. - Any Specialization PG:Post Graduation Not Required, Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 2 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Job Description!!!! 1.Handling customer queries  2.Responsible to provide timely and effective resolutions to US customers. 3.Fully responsible to delight prospective customer with satisfactory service 4.Improve the quality of the customer interaction on a daily basis. Job Title: Customer Care Representative  Non Voice  Job Location: Chennai Competency Requirements: Willingness to work in 24 x 7 work environment Job Qualification: Graduate / Undergraduate Interested candidates can walk-in at the below mentioned details for the interview: Walk-in Date: 30th Nov to 04th Dec 2015  Timing:  11:00am to 4:00pm Note: We Preferred only male candidates Venue : CES Ltd., Gee Gee Emerald Complex, 4th Floor,#312 /151,Village Road, Nungambakkam, Chennai-600034. Landmark: Above Pizza Hut Building  www.cesltd.com  Call Raja 9840122622 for any further assistance Salary:INR 1,50,000 - 2,00,000 P.A. Salary + Incentives at par with market standards, free dinner, accident and medical insurance Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills Customer Servicing bpo non voice customer support customer care customer support executive customer care executive customer service Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required, B.Com - Commerce, B.Sc - Any Specialization, B.Tech/B.E. - Any Specialization PG:Post Graduation Not Required, Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required -Any Graduate (Experienced)- Willing to work in any shift- Good Communication skills- Good Analytical skills Company Profile: CES Ltd. CES is a leading Ecommerce and IT Services global organization with offices in Chennai, Hyderabad, United States and Canada. Our services are helping multi-billion dollar organizations across Retail, Banking, Healthcare, Travel and Manufacturing industries. Our core mission is to help clients generate revenue and reduce cost through our proven portfolio of services and methodologies. Download PPT Photo 1   View Contact Details",161015007670,Chennai,Customer Support (international Non Voice Process),10.0,"1,50,000 - 2,00,000 P.A. Salary + Incentives at par with market standards, free dinner, accident and medical insurance",2015-11-27 01:32:55 +0000,,ITES,f98c5c8cedddf623c62277769878d673,intern
Headhuntersinc Consultancy Private Limited,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 5 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Excellent Communication Fresher and Max 5 year experience in any International voice process can apply Willing to work in Rotational Night shift Immediate Joinner preferred Pick and Drop provided Best salary Package 5 Days working and 2 days Rotatio Salary:INR 50,000 - 3,00,000 P.A Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills customersupport internationalvoiceprocess usshift ukshift technical support cse csa customerservice voiceprocess fresher internationalbpo customer support Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Salary Freshers: 1.85 LPA Tenured : 3.50 LPA Interested candidate can send your resume or contact us Banu@9940071577 banu@headhuntersinc.org Company Profile: Headhuntersinc Consultancy Private Limited HeadHuntersinc.org Download PPT Photo 1   View Contact Details",11215007155,Chennai,Customer Sales- International Voice Process- Banu-9940071577,,"50,000 - 3,00,000 P.A",2015-12-01 01:33:01 +0000,,ITES,3cc53d45ccf817b7f63bbc6f0b8779da,intern
Adventures International Pvt Ltd,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization,0 - 3 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Job Role: International voice Process Candidates should have Excellent communication skills Free cab will be provided Ready to work for Rotational Shifts If Interested drop your resume to swathiy@adso.com/9573711255 Salary:INR 1,00,000 - 3,00,000 P.A. incentives + PF Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(Technical) Keyskills Technical Support Voice Process Customer Support Communication Skills voice based process Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization Please refer to the Job description above Company Profile: Adventures International Pvt Ltd We are a SAP Services Partner and an advanced Information Technology consulting firm with over 15 years of industry experience. Since 1998, we have partnered with Fortune 500, mid-size and Public sectors to deliver valuable business solutions. Download PPT Photo 1   View Contact Details",271115000423,Chennai,Urgent Opening for Freshers/experienced in International Voice Process,100.0,"1,00,000 - 3,00,000 P.A. incentives + PF",2015-11-27 01:33:09 +0000,,ITES,de359ff98f0bc71b5a1f7632ad24c9c0,intern
Headhuntersinc Consultancy Private Limited hiring for International voice process-us shift-bpo-fresher,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 1 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this *Excellent communication(Fluent) *Flexible to work in any shifts *Cab is provided *Creative/Spontaneous in selling *US-Voice process You can also refer your friends...Immediate joiners.... Regards, Nushrath-HR nushrath@headhuntersinc.org Salary:INR Less Than 50,000 - 1,50,000 P.A Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills accent english voice US voice support International voice process Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Headhuntersinc Consultancy Private Limited International voice process-us shift-bpo-fresher Sourcing & Recruiting Download PPT Photo 1   View Contact Details",281115002537,Chennai,US Shift-international Voice-fresher-nushrath-9940094073,,"Less Than 50,000 - 1,50,000 P.A",2015-11-28 01:33:09 +0000,,ITES,43f8f25d86b3834aa5729f67586fdfce,intern
Headhuntersinc Consultancy Private Limited,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Doctorate Not Required",0 - 4 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Designation : CSE/Sr.CSE Experience : 0 - 4 years Skills: Strong Written & Oral Communication. Good Analytical Skills. Any Graduates. Willingness to work in Night Shift. Shift: US & UK Shift Cabs will be provided. Contact: Dilshad - HR 9940254459 Salary:INR 1,75,000 - 3,50,000 P.A Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills US Shift Night Shift CSE Voice Analytical Skills customer services customer support customer support executive uk shift Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Doctorate Not Required Please refer to the Job description above Company Profile: Headhuntersinc Consultancy Private Limited Headhuntersinc Consultancy Private Limited was founded in the year 2010 with the vision of providing holistic recruitment solutions in a Conventional and Non-conventional way across Sectors & Verticals. Our directors are from the same industry. Download PPT Photo 1   View Contact Details",271115001545,Chennai,"Openings for Customer Support_international Voice, Chennai. 9940254459",,"1,75,000 - 3,50,000 P.A",2015-11-27 01:33:12 +0000,,ITES,f098232e5feafb8d04b9750ad3ceccde,intern
Danfoss Industries Pvt Ltd,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Post Graduation Not Required Doctorate:Doctorate Not Required",0 - 0 yrs,Fresher / Trainee / Entry Level,"Job Description   Send me Jobs like this We are looking for students interested for an internship for projects in Human Resources team. Candidates with a Masters degree with a HR specialization can apply for this role. Internship will be for a period of 2-6 months. Salary:INR 1,00,000 - 1,25,000 P.A Industry: Fresher / Trainee / Entry Level Functional Area: HR , Recruitment , Administration , IR Role Category:Other Role:Fresher Keyskills HR Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Post Graduation Not Required Doctorate:Doctorate Not Required Please refer to the Job description above Company Profile: Danfoss Industries Pvt Ltd Danfoss is Denmark's largest industrial Group and a world leader in research, development & production of energy efficient technologies, engaged in making modern living possible through Climate & Energy solutions. With more than 80 years of experience in providing energy-efficient technologies that save energy and combat climate change, it has presence in more than 50 countries across the globe and provides world-class solutions through various business areas namely, Danfoss Refrigeration & Air Conditioning Controls, Danfoss Power Electronics, Danfoss Heating Solutions, Danfoss Commercial Compressors, Danfoss Power Solutions and Danfoss District Energy. Download PPT Photo 1   View Contact Details",261115007654,Chennai,HR Internship,,"1,00,000 - 1,25,000 P.A",2015-11-26 01:33:17 +0000,,HR,99d71baed9f34b2fbf5dfb0b762fe8ad,intern
Adventures International Pvt Ltd,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization,0 - 3 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Job Role: International voice Process Candidates should have Excellent communication skills Free cab will be provided upto 30km radius Ready to work for rotational Shifts. If Interested drop your resume to mounika@adso.com or call to 8106482255 Salary:INR 1,00,000 - 3,00,000 P.A. incentives + PF Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(Technical) Keyskills Technical Support Voice Process Customer Support Communication Skills voice based process Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization Please refer to the Job description above Company Profile: Adventures International Pvt Ltd We are a SAP Services Partner and an advanced Information Technology consulting firm with over 15 years of industry experience. Since 1998, we have partnered with Fortune 500, mid-size and Public sectors to deliver valuable business solutions. Download PPT Photo 1   View Contact Details",301115092447,Chennai,Hiring for Freshers/experienced !! International Voice Process,100.0,"1,00,000 - 3,00,000 P.A. incentives + PF",2015-11-30 01:33:18 +0000,,ITES,c423fc7f8d496d2e3a7f181b982c799b,intern
Adventures International Pvt Ltd,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization,0 - 3 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Job Role: International voice Process Candidates should have Excellent communication skills Free cab will be provided Ready to work for Night Shifts If Interested drop your resume to jyotsna@adso.com or call to 8121712255 Salary:INR 1,00,000 - 3,00,000 P.A. incentives + PF Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(Technical) Keyskills Technical Support Voice Process Customer Support Communication Skills voice based process Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization Please refer to the Job description above Company Profile: Adventures International Pvt Ltd We are a SAP Services Partner and an advanced Information Technology consulting firm with over 15 years of industry experience. Since 1998, we have partnered with Fortune 500, mid-size and Public sectors to deliver valuable business solutions. Download PPT Photo 1   View Contact Details",11215005344,Chennai,Hiring for Freshers & Experienced in International Bpo!!night Shifts,100.0,"1,00,000 - 3,00,000 P.A. incentives + PF",2015-12-01 01:33:19 +0000,,ITES,915d4669d141034b0b5750eb6ca005d8,intern
HCL Technologies Limited,"UG: Any Graduate - Any Specialization, Graduation Not Required, B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 3 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Hcl-walkin Drive-US Voice Process-customer Service Executive/AR Caller/AR Analyst WALK-IN DRIVE @ HCL BServ for Customer Service Executive/AR Caller -International voice process (US) on 1st Dec to 3rd Dec 2015 VENUE : HCL BServ,1st floor Navins WSS Towers,Pudupet,Chennai-02. Landmark:Near Casino theatre. Company: HCL Technologies Ltd. - Business Services Designation: Customer Service Executive/AR Caller Process: Health Care-Voice Process Shift: Full Night Shift Job Location: Chennai Saturday & Sunday is Fixed Off Education and Experience Graduation (any stream) But without any standing Arrears. 0(Fresher) - 48 months of International Voice (Inbound/Outbound) process experience preferably in patient handling, Provider/DME AR calling. Job Description Voice (AR Calling):- To make out bound B2B calls following up on outstanding claims / accounts. Make / Receive calls from customers relating to their invoices / outstanding / orders or collect insurance details. Document and take accurate action on the information gathered from either the insurance representative or customers. Process medical billing related back office transactions accurately and in accordance with client stipulated procedures. Job Description Data process:- Perform Demographics & Order Entry Process medical billing related back office transactions accurately and in accordance with client stipulated procedures. Assess and resolve enquiries, requests and escalation from other department to ensure that customer enquiries are resolved at first point of contact. Skill set required:- Excellent Communication Skills with neutral accent mandatory for all Voice LOBs Basic knowledge of back office and customer support. Good data entry & typing skills (35 WPM) Experience in Healthcare domain will be an added advantage Other Benefits Include   Opportunity of fast track career growth. Pick-up and Drop available 5 days working Career Progression Programs Process Allowance Overtime Allowance Salary Package: Best in the Industry Selected candidates get the opportunity to do their Certification in Lean & Six Sigma. Mention Arun-HR as the reference at the top of your resume Salary:INR 2,50,000 - 4,00,000 P.A Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills AR Caller Healthcare Outbound Calling Inbound Calls Handling Night shift Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required, B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: HCL Technologies Limited ABOUT THE COMPANY, HCL is a $6.3 billion leading global technology and IT enterprise comprising two companies listed in India - HCL Technologies and HCL Infosystems. Founded in 1976, HCL is one of India's original IT garage start-ups. A pioneer of modern computing, HCL is a global transformational enterprise today. Its range of offerings includes product engineering, custom & package applications, BPO, IT infrastructure services, IT hardware, systems integration, and distribution of information and communications technology (ICT) products across a wide range of focused industry verticals. The HCL team consists of over 90,000 professionals of diverse nationalities, who operate from 29 countries including over 500 points of presence in India. HCL has partnerships with several leading Global 1000 firms, including leading IT and Technology firms. For more information, please visit www.hcl.com Download PPT Photo 1   View Contact Details",301115074366,Chennai,HCL Bserv Hiring for an International Voice Process,,"2,50,000 - 4,00,000 P.A",2015-11-30 01:33:20 +0000,,ITES,3005fd7de91c7051398a8b698e6e33cc,intern
tekIVY,"UG: B.Tech/B.E. - Computers, Electrical, Electronics/Telecommunication PG:Any Postgraduate - Any Specialization, MCA - Computers, M.Sc - Computers Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 1 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this * 0-1 years experience in Java / J2EE technologies * Java/J2EE course is must * High analytical ability * Exposure to popular Java development frameworks like Spring,Hibernate, EJB Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Other Role:Fresher Keyskills Java Hibernate J2Ee Spring EJB Analytical Ability Javascript html Apache Web Server jbos Netbeans Eclipse Java Struts Java Servlets Desired Candidate Profile Education- UG: B.Tech/B.E. - Computers, Electrical, Electronics/Telecommunication PG:Any Postgraduate - Any Specialization, MCA - Computers, M.Sc - Computers Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required To get the response of your application, kindly call M.Ganesh - 9791996894 Company Profile: tekIVY tekIVY is a business - technology transformation consulting, products & solutions provider operating and serving in North America. It serves customers pertaining to many industry verticals like healthcare, finance/Banking, pharma/life science, etc. Download PPT Photo 1   View Contact Details",300915003549,Chennai,Internship Program for Java/j2ee - 0 to 1 Year Experience,,Not Disclosed by Recruiter,2015-11-30 01:33:24 +0000,,IT Software - Application Programming,2a65ea64ea6bb280b04051ce4bcf868b,intern
MaxIT Global solutions Pvt Ltd,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization,0 - 1 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Role: *good communication skills *willing to work in day shift *Incentives will be given to every Performer *Immediate Joineries required Note:Direct Walk-in From(27/11/15 - 20/12/15) Refer Your friends and bring them directly to the venue Salary: Not Disclosed by Recruiter Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(Technical) Keyskills International Voice Process Communication Skills BPO voice process BPO and ITES ITES and BPO Fresher Customer Servicing Customer Calling Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization Maximum 20 backlogs are eligible to this position Company Profile: MaxIT Global solutions Pvt Ltd From a humble beginning in the 1990s as a textile and software Export House, we have organically grown into a leading global Technology and IT services company. Founded by third generation Entrepreneurs, MaxIT Global Solutions Private limited . Download PPT Photo 1   View Contact Details",271115000234,Chennai,International Voice Process for Freshers,200.0,Not Disclosed by Recruiter,2015-11-27 01:33:25 +0000,,ITES,91b6b55dd92ba60d379f3029f66148a6,intern
Barry-Wehmiller,"UG: Any Graduate - Any Specialization PG:MBA/PGDM - Marketing, International Business Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 0 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Market research  Profiling database  To find company information and contacts. Salary:INR Less Than 50,000 P.A Industry: IT-Software / Software Services Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Other Role:Fresher Keyskills Marketing Market Research Mba mba marketing mba fresher Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:MBA/PGDM - Marketing, International Business Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Barry-Wehmiller Barry-Wehmiller International Resources is a fully owned subsidiary of Barry-Wehmiller Companies, Inc, US, Download PPT Photo 1   View Contact Details",11215008086,Chennai,MBA - Marketing Internship Program,2.0,"Less Than 50,000 P.A",2015-12-01 01:33:28 +0000,,Marketing,e772bf63e5a839a368a51b85f01744ca,intern
Amrutha Business Solutions hiring for Statutory auditor/internal auditor,"UG: B.Com - Commerce PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 5 yrs,Banking / Financial Services / Broking,"Job Description   Send me Jobs like this Candidate should be a qualified CHARTERED ACCOUNTANT should have at least 2 to 3 years of audit experience should have excellent communication immediate requirement interested candidates can apply Salary:INR 6,50,000 - 7,50,000 P.A Industry: Banking / Financial Services / Broking Functional Area: Accounts , Finance , Tax , Company Secretary , Audit Role Category:Finance/Audit Role:Audit Manager Keyskills Accounting Auditing Internal Audit Chartered Accountant ca chartered accountant Desired Candidate Profile Education- UG: B.Com - Commerce PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Amrutha Business Solutions Statutory auditor/internal auditor we are leading audit firm Download PPT Photo 1   View Contact Details",211115003260,Chennai,Statutory Auditor/ Internal Auditor,2.0,"6,50,000 - 7,50,000 P.A",2015-11-23 01:33:31 +0000,,Accounts,033b2e9bd56249756194c033c45668ad,intern
Scope International,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 5 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Greetings for the day!!! I would like to inform you regarding an opening with Standard Chartered Bank - Scope International for the position of Information Security Specialist Risk & Compliance Experience : 2 - 5 Years Location : Chennai     Job Description:   Execute dialling plan according to agreed business strategy Troubleshoot and resolve dialler related queries from country through phone, email and OCS Produce timely and accurate delivery of start of day and end of day reporting Configure amendments to dialler for processing on non batch days Perform intra day checks to ensure calling lists are optimally performing Highlight to country any operational or technical issues to the agreed business strategy being executed Design and maintain calling list criteria, collector workgroup relationship and guard parameters Minimise wait time for country collectors by pacing the dialler optimally Record country interaction on daily action log of queries raised Ensure compliance with the Banks risk policy and procedures Handles additional functions assigned/delegated by their manager in his/her absence College graduate / Post Graduate of any statistical / business course Prior experience of managing predictive dialler technology preferred Ability to process, analyze and interpret data from a variety of sources Experience of writing code, preferably in SQL Good communicate effectively in English both verbally and in written form.   Interested can walk In Directly to the below address with two copies of your resumes, Venue : Haddows Road, Nungambakkam Date : 25.11.2015 (Wednesday) Time : 9.00 AM - 11.00 AM Contact : Sivaponni Salary: Not Disclosed by Recruiter Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Back Office/Web/Transaction Processing Role:Associate/Senior Associate -(NonTechnical) Keyskills sql Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Scope International Scope International, a wholly owned subsidiary of Standard Chartered Bank, UK, is an integral part of the Bank's strategy to consolidate and rationalise operations into Shared Services Centres. This is an ambitious project that the Bank undertook and today Scope International services all 56 countries of the Standard Chartered Group processing over 80 million transactions a year. The facility in Chennai is one of two hubs that the Bank has set up, the other being in Kuala Lumpur. Scope International has today emerged as one of the top captive banking back offices in India for international companies. The operations in Scope are very diverse and range from banking operations to supporting global HR processes and finance and accounting services, software development and maintenance, support for global treasury operations and providing IT helpdesk support. Scope International has adopted IDEAL as the Quality methodology in the organization to create a highly effective metrics driven performance culture. Scope employs approximately 10% of the Group's global workforce. Talented professionals from various backgrounds enrich the skill mix of the company. The average age in Scope is 28 with a male to female ratio of 70% to 30%. Scope Centre has been created as a world-class custom designed facility with a built up area of about half a million square feet. The state-of-the-art Disaster Recovery site is located in Padur, 35 kilometres from Scope Centre. The organization is motivated and totally committed to the development of its people; Scope has a flat structure; its HR policies are innovative and employee friendly. Scope embraces the Bank's values and employees are encouraged and rewarded for living the values at work. Scope differentiates itself in the community by being a trusted and proactive member. The company's Corporate Social Responsibility agenda is closely aligned with the Group's strategy. Scope is currently into the second stage of the Group's Download PPT Photo 1   View Contact Details",241115007944,Chennai,Walk In @ Scope International for Centralised Dialler Administrator,,Not Disclosed by Recruiter,2015-11-24 01:33:32 +0000,,ITES,800a5485e4e85a89b010c99afd52b0e3,intern
tekIVY,"UG: B.Com - Commerce, B.Sc - Any Specialization, B.A - Any Specialization, B.B.A - Management, BCA - Computers PG:Post Graduation Not Required, M.Sc - Any Specialization, MCA - Computers, MBA/PGDM - Any Specialization, M.A - Any Specialization, M.Com - Commerce Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 1 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this * Good communication skills * Sharp analytic mind with the ability to stay focused at all times * Exceptional organizational & interpersonal skills * Identify target markets & analyze market trends in IT * To implement marketing plan as defined & set Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Other Role:Fresher Keyskills Analytics Analysis Interpersonal Skills Communication Skills marketing marketing process support marketing process engineer support marketing process application support marketing process production support Desired Candidate Profile Education- UG: B.Com - Commerce, B.Sc - Any Specialization, B.A - Any Specialization, B.B.A - Management, BCA - Computers PG:Post Graduation Not Required, M.Sc - Any Specialization, MCA - Computers, MBA/PGDM - Any Specialization, M.A - Any Specialization, M.Com - Commerce Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Manage research works for the marketing strategies Prepare surveys and documentation to support research work Manage social media forums to generate business To get the quick response of your application, kindly contact M.Ganesh - 9791996894 Company Profile: tekIVY tekIVY is a business - technology transformation consulting, products & solutions provider operating and serving in North America. It serves customers pertaining to many industry verticals like healthcare, finance/Banking, pharma/life science, etc Download PPT Photo 1   View Contact Details",71015004159,Chennai,Marketing Process - Intern,,Not Disclosed by Recruiter,2015-11-23 01:33:36 +0000,,Marketing,93a2f6c9b3121ac954d64964ba386618,intern
Astroved.com Pvt Ltd,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 7 yrs,Other,"Job Description   Send me Jobs like this Handling Customer Queries. Involve in Email and Chat support process to assist customers. Excellent Communication Skill in English both Oral and written. Handling and assisting International customers. Salary:INR 3,00,000 - 6,00,000 P.A Industry: Other Functional Area: Other Role Category:Other Role:Other Keyskills Chat Email Customer Support customer care CRM Voice Non Voice Semi Voice Inbound Outbound bpo Process Associate Non Voice Process Associate Email Support Chat Support International BPO International Process International Customers Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Any graduate with good experience in customer support / Customer Care handling International Customers. Prior Experience in working with International BPO sector Experience in Email & Chat Support Excellent Communication Skill in English Company Profile: Astroved.com Pvt Ltd Astroved.com (d/b/a of Vaaak Sounds Inc) is a Chennai based multi-currency e-commerce company providing unique Astrology & Vedic solutions/remedies online, order processing, product/service delivery and CRM, expanding in 108+ countries worldwide. Download PPT Photo 1   View Contact Details",50615005734,Chennai,Non Voice-process Associate (international),2.0,"3,00,000 - 6,00,000 P.A",2015-11-21 01:33:38 +0000,,,2ec81614ed7b95a10bd145b2b6f89fc7,intern
