company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,site_name,skills,uniq_id,category
Xecutesmart,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 7 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Hi, We are looking for tibco online trainer, who can work as a part-time. Tibco Spotfire Tibco Servicegrid Tibco Iprocess Tibco CIM MDM Tibco BW Tibco BE Salary:INR 1,00,000 - 5,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Tibco Business Works tibco tibco training tibco course Tibco Spotfire Tibco Servicegrid Tibco Iprocess Tibco CIM MDM Tibco BW Tibco BE Tibco Developer tibco bw be Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Xecutesmart Xecutesmart is a global IT services provider headquartered in Phoenix, Arizona, USA and Chennai, India. Founded in 2008.The company enables enterprises to transform their business using Cloud CRM and Analytics. In addition, we also provide Product En Download PPT Photo 1   View Contact Details",280815002743,"Chennai , Hyderabad / Secunderabad",Tibco Online Trainer - Part-time,10.0,"1,00,000 - 5,00,000 P.A",2015-12-10 01:33:08 +0000,,IT Software - Application Programming,0dd70d9da4769ee83a83fd0233db2a58,pt
Xecutesmart,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 7 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Hi, We are looking for online trainer, who can work as a part-time. Weblogic Portal Development Weblogic Administrator Weblogic Commerce Server Websphere : Websphere portal development Websphere Admin Websphere commerce Server Salary:INR 1,00,000 - 5,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Weblogic Bea Weblogic weblogic admin Websphere Application Server Ibm Websphere commerce server Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Xecutesmart Xecutesmart is a global IT services provider headquartered in Phoenix, Arizona, USA and Chennai, India. Founded in 2008.The company enables enterprises to transform their business using Cloud CRM and Analytics. In addition, we also provide Product En Download PPT Photo 1   View Contact Details",110915001363,"Chennai , Hyderabad / Secunderabad","Online Trainer - Weblogic, Websphere - Part-time",10.0,"1,00,000 - 5,00,000 P.A",2015-12-10 01:33:11 +0000,,IT Software - Application Programming,c51a51308a0c0a59f906e9ad7d8728e3,pt
Xecutesmart,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 7 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Hi, We are looking for online trainer, who can work as a part-time. Java,J2EE Technologies: Core Java Advance Java Servlets Java Beans JSP J2EE : Struts Spring EJB XML JMS Hibernate Web Services Java Mail AJAX Maverick SOA Ruby on Rails Salary:INR 1,00,000 - 5,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Java J2EE jsp Java Programming J2Ee Spring Java Beans Java Swing Java Servlets Java Struts Java Server Pages Java Applets Java Awt Java Script Java Scripting Hibernate JMS XML Ruby on Rails AJAX Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Xecutesmart Xecutesmart is a global IT services provider headquartered in Phoenix, Arizona, USA and Chennai, India. Founded in 2008.The company enables enterprises to transform their business using Cloud CRM and Analytics. In addition, we also provide Product En Download PPT Photo 1   View Contact Details",220915003163,"Chennai , Hyderabad / Secunderabad","Online Trainer - Java,j2ee,servlets,ejb,jsp,struts - Part-time",10.0,"1,00,000 - 5,00,000 P.A",2015-12-10 01:33:15 +0000,,IT Software - Application Programming,a2e50e6f40decd6e02007bc83cc657a1,pt
Success Point Bpo,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 - 2 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Success Point BPO is a Leading Healthcare BPO service provider. ... We Offer Medical Coding Trainee Jobs in Leading US Healthcare BPO's. ... Success point Bpo Offer Placement Training Program with special focus on it. www.successpointacademy.in Salary:INR 50,000 - 1,00,000 P.A Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Training Role:Technical/Process Trainer Keyskills ICD Medical Coding Part Time trainer for coding medical coding tutor icd 10 tutor ICD 10 coaching Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Success Point Bpo Success Point BPO is a Leading Healthcare BPO service provider. ... We Offer Medical Coding Trainee Jobs in Leading US Healthcare BPO's. ... www.successpointbpo.com www.successpointacademy.in Download PPT Photo 1   View Contact Details",301115089990,"Chennai , Hyderabad / Secunderabad",Trainer for ICD 10 Coding (part Time),5.0,"50,000 - 1,00,000 P.A",2015-11-30 01:33:24 +0000,,ITES,e105b4c69e03919f86cd3c54d413a634,pt
Xecutesmart,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 7 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Hi, We are looking for online trainer, who can work as a part-time. Oracle Technologies: Oracle PLSQL Oracle Apex Oracle Apps DBA Oracle E-Business Suite Oracle Apps Techno Functional Salary:INR 1,00,000 - 5,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Oracle Oracle Apps Manufacturing Oracle Training Oracle Manufacturing Oracle Pl Sql And Socket Programming Oracle Portal Billing Oracle Apps Testing oracle dba oracle apps dba pl sql Oracle E - Business Suite oracle applications Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Xecutesmart Xecutesmart is a global IT services provider headquartered in Phoenix, Arizona, USA and Chennai, India. Founded in 2008.The company enables enterprises to transform their business using Cloud CRM and Analytics. In addition, we also provide Product En Download PPT Photo 1   View Contact Details",40915004927,"Chennai , Hyderabad / Secunderabad",Online Trainer - Oracle Technologies - Part-time,10.0,"1,00,000 - 5,00,000 P.A",2015-12-10 01:33:27 +0000,,IT Software - Application Programming,be48dd2ab543cbd224eac6da484e24e7,pt
Content Remarketing,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Doctorate Not Required",1 - 6 yrs,Media / Entertainment / Internet,"Job Description   Send me Jobs like this We will send you a keyword on which you have to write an article along with the URL of the website (if necessary) The article needs to be generic/informative in nature and must have at least 3% keyword density. You will not be considered unless you can commit a minimum 25 articles per week.  Article word limit: 500 words plus 20-25 words summary. Article should be free from any grammatical error, misspellings and in line with the US/UK audience, as per the requirement of the project. All content will be copyscape tested and any minor violation will terminate the understanding with you immediately.   We will provide you the work every second day and you will have to send the assignment back to us within 1-2 days of the same.   All payments will be made twice a month   We pay through the cheque of HDFC bank payable in your name or can deposit directly in your HDFC/ICICI/Axis Bank. The cheque is sent by courier.   FYI: Repeat copy of work from any site, including wikipedia is not allowed. All articles become property of Content Remarketing. Reproduction of the same in any form can attract legal penalty. The write-ups have to be original piece of work. No copy paste is allowed.  Salary: Not Disclosed by Recruiter Industry: Media / Entertainment / Internet Functional Area: Journalism , Editing , Content Role Category:Content Development Role:International Business Content Developer Keyskills content editor content qc content writer content writing copywriter editing copy writing copy editor Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Doctorate Not Required Good English writing skills, strong vocabulary, reading and comprehension skills. Can provide a MINIMUM OF 25 WRITEUPS PER WEEKExperience in similar writing style and workAbility to rephrase and modify articles and write -ups.Clear, concise and compelling copy writing and proof-reading skills. Internet savvyDecent typing speed Company Profile: Content Remarketing We are one of largest content writing and marketing firm catering to the clientele in the US/UK. We have been writing 100% unique SEO friendly articles, blogs, PRs for our clients. At present we want to outsource bulk work, which will include writing SEO friendly articles Download PPT Photo 1   View Contact Details",301115086035,"Delhi/NCR(National Capital Region) , Kolkata , Mumbai , Hyderabad / Secunderabad , Chennai , Bengaluru/Bangalore",Part time Content Writer and Editor,5.0,Not Disclosed by Recruiter,2015-11-30 01:33:28 +0000,,Journalism,2295d5a827017f040cce62633de61420,pt
SAN Data Systems,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 7 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Roles / Responsibilities You will be responsible for teaching Virtualization Technologies and should have good understanding on installing and configuring VMware(ESXi,vspere etc). Develop Virtualization/ cloud computing training content for both students, working professionals and Corporates. Conduct online and classroom training sessions by providing practical usecases and assignments. Design quality self paced recorded training sessions on all latest Virtualization Technologies for students, working professionals and corporates. Continuously improve on teaching methodology to suit online model to lead to high student satisfaction. Work in small teams where each team member has a lot of ownership and each individual can make a big impact. Design and make the trainees develop mini or major realtime projects for practial exposure. Work as a consultant or solution architect in cloud and virtualization infrastucture design for corporates on part time basis. Salary:INR Best in the industry Industry: IT-Software / Software Services Functional Area: Teaching , Education , Training , Counselling Role Category:Teachers Role:Trainer Keyskills Corporate Trainers Contract job Part time job VMWare Vrealize Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Experience/SkillsEngineering degree or post graduate degree or Ph.D in Computer Science or equivalent experience.Minimum 2-3 years of experience in design, development and implementation of realtime Virtualization Technologies in a corporate environment with a total of 3 to 7 years experience.Working experience of VMware, citrix and windows Virtualization Technologies.USA Work VISAH1 Visa Transfers/Green Card sponsorship is available to qualified candidates. (H1 Transfer Available) SalaryCompensation is based on base salary, plus generous benefit package and profit sharing.ContactPlease send resume to resume@sandatasystem.com orMail toSAN Data Systems Inc4231 Business center drive, Suite 11Fremont CA 94539 USAwww.sandatasystem.com Company Profile: SAN Data Systems RED Cloud Computing Pvt Limited a division of SAN Data Systems a San Francisco based global Storage IT Consulting Company in the search for IT VMWare/ Vrealize Training instructors on part time or contract basis. In this position You will be responsible for teaching Virtualization Technologies and should have good understanding on installing and configuring VMware on virtual machines. This position is located anywhere in India. RED Cloud Computing Pvt is an Equal Employment Opportunity employer that actively pursues and hires a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, color, national origin, ancestry, sex, age, religion, physical or mental disability status, medical condition or marital status. RED Cloud Computing Pvt provides its employees with a truly global opportunity to work with the best clients, and the best tools, technologies and expertise in the storage IT industry. At RED Cloud Computing Pvt, we are passionate about what we do, and we strive to make a positive impact, not just on the lives of our clients and candidates, but our colleagues too. We work with the world's leading companies - they come to us because they want to transform their business, and that requires trust. We listen, understand and develop solutions that make a difference for our clients, accelerating growth in our business and expansion into even more markets. Download PPT Photo 1   View Contact Details",50516005412,"Bengaluru/Bangalore , Delhi/NCR(National Capital Region)",Require Vmware/ Vrealize Instructor on part Time/ Contract Basis,,Best in the industry,2016-05-05 11:34:45 +0000,,Teaching,23e43cb89ee0dbe7a1d24db8de540ddd,pt
FTS Pvt Ltd,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization,0 - 2 yrs,Advertising / PR / MR / Event Management,"Job Description   Send me Jobs like this We are looking for: Part-time Customer Support individuals to help us in building good customer relationship & provide better services to them. There is no target as well as no boundation of time..... Contact : Masham Syed(HR) Phone: +919650587121 Salary:INR 1,00,000 - 2,00,000 P.A Industry: Advertising / PR / MR / Event Management Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales/Business Development Manager Keyskills Online Marketing Fresher House wives Graduate Good communication skills Basic knowledge of computer Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization Please refer to the Job description above Company Profile: FTS Pvt Ltd You must join us because Fantasy Capital Club is a stable. It has solid backing by a successful and established Business Group. Download PPT Photo 1   View Contact Details",60516001697,"Noida , Faridabad , Delhi/NCR(National Capital Region)",Urgent Hiring for part time (noida),300.0,"1,00,000 - 2,00,000 P.A",2016-05-06 11:35:00 +0000,,Sales,db781891e8d0390e05610ebbbd0e5a7b,pt
Confidential,"UG: B.Tech/B.E. - Any Specialization, Computers PG:M.Tech - Any Specialization, Computers Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 8 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Urgent Requirement of SAP HANA Trainer (Weekends) on part time basis Experience:- 3-10 (years) Salary:- Based as per industry norms Location:- Noida. Walk in Dates:- 9th -15th Feb 2016 Time:- 10am- 4pm Venue:- Sky Infotech, A-50, Sec-64,Noida Interested candidates apply with your updated CV on below mentioned E-Mail ID:- komal.skyinfotech@gmail.com or contact on following numbers ASAP: Regards Komal 9717292600 Salary:INR 1,00,000 - 3,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Other Role Category:Other Role:Trainer/Faculty Keyskills SAP HANA Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization, Computers PG:M.Tech - Any Specialization, Computers Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required   Company Profile: Confidential A leading client Download PPT Photo 1   View Contact Details",80216001306,Noida,Urgent Requirement for SAP HANA Trainer (part-time),,"1,00,000 - 3,00,000 P.A",2016-05-05 11:35:00 +0000,,IT Software - Other,b79037f585be3598f6b130f2253eaf7e,pt
Acharya Institute,"UG: B.Com - Commerce, Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 5 yrs,Education / Teaching / Training,"Job Description   Send me Jobs like this Faculty should have good communication skills and in depth subject knowledge. Salary:INR 1,75,000 - 3,00,000 P.A Industry: Education / Teaching / Training Functional Area: Teaching , Education , Training , Counselling Role Category:Teachers Role:Teacher/ Private Tutor Keyskills Teaching English Part Time Communication Skills English Speaking Desired Candidate Profile Education- UG: B.Com - Commerce, Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Acharya Institute Acharya is a premier institute preparing students for Engineering and Medical entrance exams for last 14 years located in preet vihar Download PPT Photo 1   View Contact Details",50516003795,Delhi/NCR(National Capital Region),Part Time English Teacher for Foundation,,"1,75,000 - 3,00,000 P.A",2016-05-05 11:35:02 +0000,,Teaching,e84a0836154e903b740ae11b27611d8f,pt
ucctravelworld.com/,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 1 yrs,Advertising / PR / MR / Event Management,"Job Description   Send me Jobs like this We Urgently Require Candidates for Online Part/Full Time Promotion Works. Spend 2 To 3 Hours In One Day With Study And Regular Job. No Work Pressure No Time Bound No Target No Boss Call for more information if you are interested or whasapp me Salary:INR 2,50,000 - 5,50,000 P.A Industry: Advertising / PR / MR / Event Management Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Marketing Role:Direct Marketing Executive Keyskills part time full time homebased Online Marketing internet marketing Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: ucctravelworld.com/ Extra income for every single graduate as well as under graduate candidates, work with your smart mind by spending 3-4 hours per day on Online to earn as INR â‚¹3k - INR â‚¹ 7k per week with exclusive best performer perks. Watsapp or Ring me for info Download PPT Photo 1   View Contact Details",50516007558,"Bengaluru/Bangalore , Mumbai , Gurgaon",Available Part time / full time work at Top M.n.c Company,100.0,"2,50,000 - 5,50,000 P.A",2016-05-05 11:35:12 +0000,,Marketing,631e486f2be5fdebf0e8d5a676212cd7,pt
Alliance Educare and Research Pvt. Ltd.,"UG: Any Graduate - Any Specialization PG:MBA/PGDM - Any Specialization, HR/Industrial Relations, Finance, Marketing, M.A - Any Specialization, English, Economics, History, Hindi, Political Science, Maths, Psychology Doctorate:Ph.D - Advertising/Mass Communication, Commerce, Economics, Finance, History, HR/Industrial Relations, Marketing, Maths, Psychology, Statistics, Other Doctorate",5 - 10 yrs,Education / Teaching / Training,"Job Description   Send me Jobs like this Faculty for English, Commerce,History,Philosophy, Pol.Sci., Hindi, Economics, Mathematics, Public Administration, MBA, MCA. Minimum experience of 5 years in teaching of College Students. Location-Palam, Ashram, Dilshad Garden. Salary: Not Disclosed by Recruiter Industry: Education / Teaching / Training Functional Area: Teaching , Education , Training , Counselling Role Category:University Level Role:Lecturer/Professor Keyskills Part Time part time job Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:MBA/PGDM - Any Specialization, HR/Industrial Relations, Finance, Marketing, M.A - Any Specialization, English, Economics, History, Hindi, Political Science, Maths, Psychology Doctorate:Ph.D - Advertising/Mass Communication, Commerce, Economics, Finance, History, HR/Industrial Relations, Marketing, Maths, Psychology, Statistics, Other Doctorate Candidate with P.hd. degree having minimum 5 year experience in teaching College students. Company Profile: Alliance Educare and Research Pvt. Ltd. AlliancEduÂ®, a brand of Alliance Educare & Research Pvt Ltd, focuses on Skill Development leading to Entrepreneurship. Download PPT Photo 1   View Contact Details",20316000559,"Delhi , Delhi/NCR(National Capital Region)",Academic Counselor - Part Time (faculty),100.0,Not Disclosed by Recruiter,2016-05-05 11:35:15 +0000,,Teaching,45553299d49089c7a8d4c7a75779afe4,pt
FCC Tourism Services,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 3 yrs,Advertising / PR / MR / Event Management,"Job Description   Send me Jobs like this We need friendly male/female candidates who have basic information of computer, passionate & willing to be successful with us. Attractive weekly/monthly perks and rewards for outstanding performance achiever. You may continue with your regular job Salary:INR 1,25,000 - 1,75,000 P.A. GOOD Incentive Industry: Advertising / PR / MR / Event Management Functional Area: HR , Recruitment , Administration , IR Role Category:HR/ Recruitment / IR Role:Recruitment Executive Keyskills Part Time work from home oubound freelancer HR and Recruitment Fresher Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: FCC Tourism Services Fantasy Capital Club , a unit of Fantasy Capital Club. India's fastest growing tourism Management Company . Fantasy Capital Club takes you to the best holidays eveR. Download PPT Photo 1   View Contact Details",60416001088,"Delhi/NCR(National Capital Region) , Faridabad , Noida",Hirings For Part Time Online Jobs-noida,300.0,"1,25,000 - 1,75,000 P.A. GOOD Incentive",2016-05-04 11:35:23 +0000,,HR,f77a8220bbd83ff7aec9100fe8b7700c,pt
Ganesh Hospital,"UG: MBBS - Medicine PG:M.S/M.D - Radiology, PG Diploma Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 5 yrs,Medical / Healthcare / Hospitals,"Job Description   Send me Jobs like this Fresher/Exp with degree : (MBBS , DMRE /MBBS DMRD or DNB/MD ( Radiology ) Job location-Ghaziabad Ctc -Negotiable Salary:INR Negotiable for deserving Candidate Industry: Medical / Healthcare / Hospitals Functional Area: Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology Role Category:Medical Professional Role:Radiologist Keyskills ultrasonologist radiologist md radiology DMRE DMRD Ultrasound colour doppler Desired Candidate Profile Education- UG: MBBS - Medicine PG:M.S/M.D - Radiology, PG Diploma Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Ganesh Hospital 110 bedded Multi-Speciality Hospital Download PPT Photo 1   View Contact Details",50515002724,Ghaziabad,Urgently Required Radiologist/ultrasonologist(part Time/full Time),,Negotiable for deserving Candidate,2016-05-03 11:35:24 +0000,,Medical,7b9f67a6e291c425ffcf4e2c7189ce70,pt
FTS Pvt Ltd,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 1 yrs,Advertising / PR / MR / Event Management,"Job Description   Send me Jobs like this We need friendly male/female candidates who have basic information of computer, passionate & willing to be successful with us. Attractive weekly/monthly rewards for outstanding performance achiever.You may continue with your regular job. Salary:INR 2,00,000 - 4,00,000 P.A. good incentive Industry: Advertising / PR / MR / Event Management Functional Area: HR , Recruitment , Administration , IR Role Category:HR/ Recruitment / IR Role:Recruitment Executive Keyskills Part Time oubound freelance freshers Graduate Marketing Internet Marketing undergraduate Business Development Communication Skills Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: FTS Pvt Ltd Fantasy Capital Club , a unit of Fantasy Capital Club. India's fastest growing tourism Management Company . Fantasy Capital Club takes you to the best holidays ever. Download PPT Photo 1   View Contact Details",290316004387,"Delhi/NCR(National Capital Region) , Faridabad , Noida",Part Time Jobs To Earn An Extra Income,300.0,"2,00,000 - 4,00,000 P.A. good incentive",2016-05-05 11:35:30 +0000,,HR,f0126d6932876f0f24437d9713c5c527,pt
Tripster Solutions Pvt Ltd.,"UG: Any Graduate - Any Specialization, Graduation Not Required, B.Tech/B.E. - Any Specialization, Computers PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 5 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Dear Candidate, Greetings! We are hiring Part Time / Freelancer PHP Developer for  Tripster Solutions Pvt. Ltd. Please find below the details: COMPANY PROFILE: Tripster Solutions Private Limited is a leading company in Travel Technology providing range of solutions like web designing, web hosting, e-commerce solutions, multimedia solutions, internet marketing and BPO solutions. At Tripster we believe in carrying out our work with highest level of commitment, integrity and intentionality to achieve breakthrough results. Recently we have ventured into ipc help desk and Tripster Academy. iPC help desk is an IT Support provider helping home users and small business owners regarding Antivirus and Malware, Intuit, Email, POGO, PC Optimization etc DESIGNATION: Part Time / Freelancer PHP Developer JOB DESCRIPTION: Experience in web development using PHP, MySQL, HTML, CSS, JQuery, JavaScript. Experience on MVC Frameworks Laravel, Zend, Codeigniter, Cake PHP Design, develop and code various web applications to ensure projects are implemented on schedule. Knowledge of version control: Git/SVN Good know-how of mobile apps will be considered as plus Experience in developing mobile friendly websites Command over OOPS and knowledge of XAMPP, WAMP. Salary:INR 2,00,000 - 5,00,000 P.A. Best In Industry Industry: BPO / Call Centre / ITES Functional Area: IT Software - Mobile Role Category:Programming & Design Role:Team Lead/Technical Lead Keyskills php developer php programmer php mysql web developer php mysql ajax lamp developer joomla Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required, B.Tech/B.E. - Any Specialization, Computers PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Expert in Core PHPGood Project Management Skills Well versed with CPanel hostingcomfortable with Payment gateway, third party integrationWell versed in HTML5, CSS3, JQuery and responsive designGo getter attitudeGood written and spoken English Company Profile: Tripster Solutions Pvt Ltd. At Tripster we believe in carrying out our work with highest level of commitment, integrity and intentionality to achieve breakthrough results. Recently we have ventured into ipc help desk and Tripster Academy. iPC help desk is an IT Support provider helping home users and small business owners regarding Antivirus and Malware, Intuit, Email, POGO, PC Optimization etc Download PPT Photo 1   View Contact Details",30516007651,Gurgaon,Hiring for Part Time / Freelancer PHP Developer for US Based Company,1.0,"2,00,000 - 5,00,000 P.A. Best In Industry",2016-05-03 11:35:30 +0000,,IT Software - Mobile,fd700e93b130d41b5f395b56c162d7e6,pt
Intarvo Technologies Ltd hiring for Intarvo,"UG: Graduation Not Required, Any Graduate - Any Specialization PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 1 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Walkins-Inbound Voice Support in Intarvo- 5 May 2016 to 20 May'16 JD mention below: Any Graduate/ Pursuing graduation/Under graduate in any stream Good communication skills in English Good knowledge of computer Job Description Attending Customer Calls in proper manner Properly understand customer order Up selling to customers as per requirement Entering ordering details accurately in the software   NOTE: Salary would be 13 CTC   Interested candidates meet between 11am -5pm on the below mentioned address: Venue : inTarvo Technology Ltd Dayal Tower ,A-154C, Sect-63, opp : Fortis Hospita l-Noida Contact Person- Raj Singh Contact No.- 9990432232 Salary:INR 1,00,000 - 1,50,000 P.A. Best in industry Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills Customer Voice Support Customer Support Associate Customer Care Support Voice process Voice Support Call Center inbound calling Telecaller BA customer care BPO undergraduate cce Desired Candidate Profile Education- UG: Graduation Not Required, Any Graduate - Any Specialization PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Intarvo Technologies Ltd Intarvo inTarvo Technologies Limited (formerly known as RT Outsourcing Services Limited) is India's leading provider of Integrated Lifecycle Management (ILM) support services for Technology Products for Original Equipment Manufacturers, EMS Companies, Distributors, Large Corporation and Retail Chains. 'inTarvo stands for our core ideology of Delivering Value (inTarvo=Integration + Value, Benefit, Worth). Download PPT Photo 1   View Contact Details",40516006204,Noida,We are Hiring for CCE /CSE Profile--full/ Part Time-cl Raj 9990432232,80.0,"1,00,000 - 1,50,000 P.A. Best in industry",2016-05-04 11:35:46 +0000,,ITES,05b778e3d2424f8d1206cfb90f4fa7f7,pt
